id,company,website,location,industry,size_hint,why_pain,evidence,decision_maker_role,contact_channel,outreach_angle,personalization,priority,region_bucket,batch
11,Cocoon Medical Spa,https://cocoonmedicalspa.com,"Legian (Sunset Road), Ubud (Monkey Forest Rd) and Canggu (Echo Beach), Bali","Medical spa / anti-aging (botox, fillers, laser, colonics, IV)","3 locations, operating since 2013, doctors + nurses, international (AU/UK) clientele","Three branches booked via phone/WhatsApp with two different WhatsApp numbers (+62 811 388 815 for Legian/Ubud, +62 811 3990 9002 for Canggu); high inquiry volume from tourists comparing prices to Australia/UK; no unified self-serve booking flow visible.","https://cocoonwellnessspa.com/cocoon-medical-spa-ubud/ and https://cocoonmedicalspa.com (multi-location, WhatsApp-based booking). Pain severity: ASSUMPTION (no public complaint found; inferred from multi-branch WhatsApp booking model)",Founder / group operations manager,info@cocoonmedicalspa.com (published) / WhatsApp +62 811 388 815,"Cross-branch AI concierge: one number that answers price/treatment questions instantly, books into the right of the 3 clinics, and follows up on no-shows - built for their exact AU/UK tourist funnel.",Reference their 3 locations and 'half the price of Australia' positioning; pitch capturing the price-shopper inquiries that come in overnight from Australia.,8,bali_regional,bali-clinics
12,Body Lab Bali,https://bodylabbali.com,"Jl. Raya Basangkasa No.10, Seminyak, Bali","Aesthetic clinic (botox, fillers, HIFU, laser, body sculpting)","Single flagship clinic since 2017; ~300 Tripadvisor reviews, 24K Instagram followers","Bookings arrive via five fragmented channels - phone, email, Instagram DM, Facebook Messenger and WhatsApp (stated on their own site) - classic missed-message / double-booking risk; Instagram-DM-driven sales at 24K-follower scale.","https://bodylabbali.com/about/ (lists phone, email, Instagram, FB Messenger, WhatsApp as booking channels); https://www.instagram.com/bodylabbali/",Owner / clinic manager,WhatsApp and contact form on bodylabbali.com; Instagram @bodylabbali,"Unify WhatsApp + IG DM + Messenger into one AI inbox that quotes treatments, checks availability and books - so a 4.9-star clinic never leaks leads between five inboxes.",Note their 4.9 rating and that their own About page lists 5 different booking channels; ask who answers the IG DMs at 10pm when a tourist lands and wants next-day botox.,8,bali_regional,bali-clinics
13,Hangover Lounge Bali,https://hangoverloungebali.com,"Sunset Road, Kuta (clinic) + mobile service to Seminyak, Canggu, Uluwatu, Sanur","IV therapy / recovery lounge (hangover, Bali belly, jet lag drips)","Est. 2016, 1,000+ five-star Google reviews, 80K+ social followers, clinic + mobile fleet",Entire sales flow is WhatsApp-first ('Book on WhatsApp - share location and symptoms'); lounge hours are 8am-11pm while hangover/Bali-belly demand peaks overnight and early morning - inquiries outside staffed hours are at risk; mobile dispatch coordination across 5 areas is manual chat work.,"https://hangoverloungebali.com/iv-drips-in-canggu/ (WhatsApp-share-location booking flow) and https://hangoverloungebali.com/ (hours, mobile coverage). Overnight-miss claim: ASSUMPTION inferred from published 8am-11pm hours",Founder / operations manager,WhatsApp booking number published on hangoverloungebali.com,"24/7 AI triage on their WhatsApp line: collects location + symptoms, quotes the right drip package, dispatches/queues the mobile nurse - captures the 2am Bali-belly customer they currently answer at 8am.","They market urgency ('doctor arrives in 30-60 min') - point out the gap between urgent demand and 8am-11pm reply window; reference their 1,000+ reviews as proof volume justifies automation.",8,bali_regional,bali-clinics
14,Sa'Mesa Bali,https://samesabali.com/,"Canggu & Seminyak, Bali",Experiential communal-dining restaurant group (2 venues),"Two venues; single-seating dinners (two seatings Fridays), 'booked out almost every single night'","Reservation-critical business model: one communal seating per night that only starts when ALL guests arrive, sold out nightly, with direct contact channels listed as a mobile number and a Gmail address (balisamesa@gmail.com) — waitlists, punctuality reminders, and no-show management are handled manually.",https://thehoneycombers.com/bali/samesa-canggu-bali/ and https://samesabali.com/booking/ (Gmail + phone contact via https://www.balifoodandtravel.com/place/samesa-seminyak/),Founder / Owner,"Booking page samesabali.com/booking, public business email balisamesa@gmail.com, listed business phone/WhatsApp +62-813-53035411","Automated waitlist + pre-arrival WhatsApp sequences (punctuality is mission-critical for their single-seating format), deposit enforcement, and no-show backfill from the waitlist.",Their dinner literally cannot start until every guest arrives — pitch automated arrival reminders and instant waitlist backfill as protecting the core of their format; note they're sold out nightly so every no-show is pure lost revenue.,8,bali_regional,bali-hospitality
15,Kima Surf Camps,https://kimasurf.com/,"Canggu, Seminyak, Uluwatu & Bukit, Bali (plus Sri Lanka)",Surf camp / retreat operator (multi-location),4 Bali camps; Canggu camp alone accommodates 100+ guests; year-round operation,"Complex multi-step manual booking flow: online registration form, then payment arranged 'through the confirmation email', then guests must send flight details and WhatsApp number at least 48h before arrival for transfers — high-volume coordination handled by humans across 4 camps.",https://kimasurfbali.com/contact-us/ and https://kimasurf.com/ (booking + transfer process described on site/search summary),General Manager / Head of Reservations,"info@kimasurf.com, phone/WhatsApp +62 811-3944-332 (publicly listed, staffed 06:00-24:00)","Booking automation: instant quote + payment link on inquiry, automated flight-detail collection and transfer dispatch, cross-camp availability routing across their 4 Bali locations.",Their contact line is staffed 18 hours a day — quantify what an AI agent handling the other 6 hours plus routine transfer logistics (the 48h flight-details chase) would save across 100+ weekly guests.,8,bali_regional,bali-hospitality
16,"LYD Bali Group (La Familia: La Brisa, La Favela, La Plancha, La Laguna)",https://lydbaligroup.com/,"Canggu & Seminyak, Bali","Multi-venue beach club, bar & restaurant group",4+ flagship venues plus Attika speakeasy and LYD Organic farm; hundreds of covers per venue per day,"Iconic multi-venue group where each venue (beach club, nightclub, beach bar) takes its own bookings; La Brisa daybeds and event bookings run largely on WhatsApp/Instagram DM per local guides — fragmented, manual, high-volume.",https://lydbaligroup.com/brands/ (portfolio); per-venue WhatsApp/DM booking flow is ASSUMPTION based on guide articles like https://cocodevelopmentgroup.com/blog/la-brisa-bali-beach-club-honest-review-insider-tips/,Group General Manager / Marketing & Reservations Director,Contact form on lydbaligroup.com; per-venue reservation WhatsApp lines listed on venue pages,"Group-wide AI reservations + guest CRM: one system answering daybed, table and event inquiries across La Brisa/La Favela/La Plancha/La Laguna, with cross-venue remarketing (beach day at La Brisa -> night out at La Favela).","Lead with the cross-sell: they own the guest's whole day (beach bar, beach club, nightclub) but have no unified guest database across La Familia venues — a CRM layer monetizes traffic they already have.",8,bali_regional,bali-hospitality
17,Goddess Retreats,https://www.goddessretreats.com/,"Seminyak & Ubud, Bali",Women's wellness & yoga retreat operator,Boutique: 15-17 guests per week across retreat houses; operating 20+ years; featured in Forbes (Nov 2025),"Manual high-touch booking pipeline: guests submit a reservation request, then wait for availability confirmation and a 'Guest Experience Team' reply 'within 24 hours' — a long loop for a product that is 'fully booked all year round'; complex packages (airport pickup, spa scheduling, dietary needs) coordinated by hand.",https://www.goddessretreats.com/about-us/faq/ and https://www.forbes.com/sites/biancasalonga/2025/11/18/goddess-retreats-balis-pioneer-in-wellness-retreats-for-women/,Founder / Retreat Operations Manager,Reservation request form and inquiry email on goddessretreats.com,"AI booking concierge that answers availability instantly (vs. 24h), pre-collects dietary/spa/transfer preferences, and nurtures the waitlist for sold-out weeks — more revenue per retreat seat with the same small team.","Congratulate them on the Nov 2025 Forbes feature, then note the gap: Forbes-level demand meeting a 24-hour manual reply loop; every slow reply on a sold-out product pushes a guest to a competitor retreat.",8,bali_regional,bali-hospitality
18,Bali Treasure Properties,https://www.balitreasureproperties.com/,"Canggu (Berawa), Bali","Real estate agency (sales, rentals, property management)",Founded 2012; small mixed local/international agent team; ASSUMPTION: 10-25 staff,"Public 'Work With Us' recruiting page seeking roles coordinating clients, viewings and admin — hiring for exactly the coordination/admin workload that CRM and follow-up automation removes; full-service scope (sales + rentals + PM) stretches a small team.",https://www.balitreasureproperties.com/work-with-us (hiring page for client/viewing/admin coordination roles); team page https://balitreasureproperties.com/meet-the-team/,Founder / Agency Owner,Website contact form at balitreasureproperties.com,"Automate viewing scheduling, inquiry qualification, and tenant/buyer follow-up so the existing team scales without the admin hire they are advertising for.","Mention their 2012-founded, personalized-service positioning and their current admin/coordination vacancy; frame automation as protecting the personal touch at higher volume.",8,bali_regional,bali-realestate
19,Bali Exception,https://baliexception.com/,"Seminyak, Bali (covering Canggu, Ubud, Sanur, Uluwatu)","Real estate agency (villas, land, premium listings)","400+ listings, ~200 villas sold since 2017, multilingual team (EN/FR/ES/IT/AR/ID), manages 70+ properties","400+ listings and six client languages handled by a boutique team; has a public career page (recruiting), and multilingual inquiry handling is a prime automation use case.","https://baliexception.com/about-us/ and https://balirate.com/en/agencies/bali-exception/ (400+ listings, multilingual team, founded 2017); hiring page https://baliexception.com/career/",Founder / Managing Director,Contact form at baliexception.com/contact-us/,"Multilingual AI lead-response agent that answers buyer inquiries in French, Spanish, Italian, Arabic and English instantly, then hands qualified leads to the right native-speaking agent.",Lead with their six-language positioning: an AI agent keeps that multilingual promise 24/7 even when the one French or Arabic speaker on the team is at a viewing.,8,bali_regional,bali-realestate
20,The Bali Homes,https://www.thebalihomes.com/,"Canggu, Bali","Real estate agency / buy-side advisory (land, villas, off-plan for foreign investors)","Founder-led (Alberto + AREBI-licensed co-founder Sofia), operating since 2020; ASSUMPTION: under 15 staff","End-to-end concierge model (sourcing, legal verification, notarial management, rental licensing) run by a tiny founder-led team — every hour spent on unqualified inquiries is an hour off high-value deal work.","https://www.thebalihomes.com/about (founder story, AREBI SIU-P4 licensed, end-to-end model, works mostly with foreign investors)",Co-founder (Alberto),Website contact form / inquiry flow at thebalihomes.com,"AI qualification layer that filters tire-kickers from serious foreign investors (budget, structure, timeline) before a founder ever gets on a call; automated follow-up nurtures the rest.",They say repeat clients are 'the only metric they care about' — pitch automation as freeing founder time for existing clients while no new lead slips.,8,bali_regional,bali-realestate
21,Balitecture,https://www.balitecture.com/,"Uluwatu (projects also in Canggu, Seminyak, Cemagi, Ubud)",Property developer + realty arm (off-plan villas from ~$199K),"160+ internal professionals; 200+ villas built; multiple concurrent developments (Nara, Solas, Casa Uluwatu)",Launches sell out in under a week ('previous development sold out in 7 days') — huge inquiry spikes at each launch that a human sales team cannot answer fast enough; losing slow-responded leads to competing developments.,"https://www.balitecture.com/news/nara-villas-launch-2026 and https://www.balitecture.com/developments/solas-uluwatu (sell-out speed, launch cadence); https://www.balitecture.com/ (160+ team, 200+ villas)",Founder / Head of Sales (Balitecture Realty),Contact forms on balitecture.com and balitecturerealty.com,"Launch-day AI sales agent: handles the inquiry surge for each new development, sends unit availability and payment plans instantly, and books calls for closers — capturing buyers who would otherwise go cold in the queue.",Reference Nara Villas launching after Solas sold out in days; ask what percentage of launch-week inquiries got a response within an hour.,8,bali_regional,bali-realestate
22,Investland Bali Properties,https://investlandbali.com/,"Berawa, Canggu, Bali","Property developer & investment firm (off-plan villas, PT PMA setup)",Three active off-plan developments in the Canggu corridor; ASSUMPTION: small team under 20,WhatsApp-first sales motion ('WHATSAPP US' CTA on site) with a small team selling three concurrent developments to overseas investors across time zones — manual WhatsApp follow-up is the bottleneck.,"https://investlandbali.com/contact/ (WhatsApp CTA, free consultation booking); https://investlandbali.com/developments/ (three active off-plan projects); https://investlandbali.com/off-plan-properties-in-bali/",Founder / Managing Partner,WhatsApp CTA on investlandbali.com/contact/; phone +372 56-832-434 listed publicly,"AI WhatsApp agent that answers off-plan investor questions (payment stages, leasehold vs PT PMA, ROI projections) instantly and books consultations, running 24/7 for European/Australian buyer time zones.","Their content targets data-driven investors (ROI guides, cost breakdowns) — pitch an AI agent trained on their own guides so every WhatsApp inquiry gets that same depth immediately.",8,bali_regional,bali-realestate
23,Solar Property Bali,https://solarpropertybali.com/,"Canggu / Seminyak / Ubud / Sanur, Bali",Villa management and property rental for owners,"16+ villas managed across Canggu, Seminyak, Ubud, Sanur (source: solarpropertybali.com search snippet)","Small portfolio spread across 20+ OTA platforms (Airbnb, Booking.com, Agoda, VRBO) plus direct channels - a heavy multi-channel message and calendar load for a small team; they publish comparison content on booking agents vs managers, signalling active growth and process focus.","https://solarpropertybali.com/property-management/ (20+ OTA platforms, 16+ villas, 80%+ occupancy claims per search snippets); team-size strain is ASSUMPTION",Founder / Managing Director,Website contact via solarpropertybali.com property-management page (contact form),"Unified AI guest-communication inbox across their 20+ OTA channels plus automated inquiry-to-booking follow-up, so a small team can scale past 16 villas without hiring a reservations department.",Cite their own blog ('Villa Management Company vs Booking Agent 2026') and 80%+ occupancy claim - position AI ops as how they keep that occupancy while the portfolio doubles.,8,bali_regional,bali-villas
24,Short Stay Bali,https://shortstaybali.com/,"Jl. Raya Kerobokan No.62, Kerobokan, Badung, Bali (villas in Seminyak, Canggu, Ubud, Uluwatu)","Villa management and rentals (daily, monthly, yearly)","70+ villas, 2 resorts, ~90 staff (source: shortstaybali.com per search snippet)","Roughly 90 staff for 70+ villas points to labor-heavy manual operations (24/7 villa manager support, guest services, owner reporting all human-run); guest support is via direct villa-manager contact rather than automated flows.","https://shortstaybali.com/bali-villa-management/ (70+ villas, 90 professionals, 24/7 villa manager support per search snippets); staff-to-villa inefficiency is ASSUMPTION",General Manager / Operations Director,Website contact form at shortstaybali.com; public office address Jl. Raya Kerobokan No.62,"Back-office and guest-communication automation (check-in instructions, FAQ handling, owner reports) to cut the per-villa staffing cost of running 70+ villas with a 90-person team.",Mention their 24/7 villa manager promise across 4 areas of Bali - offer AI that absorbs the repetitive 80% of guest messages so their 90 staff handle only the human-touch 20%.,8,bali_regional,bali-villas
25,Nagisa Bali Villa Management and Marketing,https://www.nagisa-bali.com/,"Kerobokan/Kuta HQ; villas in Seminyak, Kuta, Canggu, Sanur, Ungasan, Nusa Dua, Jimbaran, Ubud",Luxury villa management and marketing,"Established 2006, ~19 years operating, 'extensive portfolio' of luxury villas and estates (source: nagisa-bali.com); exact villa count unknown",Portfolio scattered across 8+ areas of Bali; public negative guest review of a managed property (Arkana Village) cites unresolved maintenance/quality issues and poor complaint resolution with no compensation - a signal of stretched guest-ops and follow-up processes; site pushes 'book direct' via inquiry rather than instant booking.,https://wanderlog.com/place/details/10342489/nagisa-bali-villa-management-and-marketing (mixed reviews incl. negative Arkana Village report per search snippet); https://www.nagisa-bali.com/,General Manager / Owner (founder-led independent company),Website contact and registration form at nagisa-bali.com; Facebook @Nagisabalivillas,"AI guest-communication and complaint-triage system that escalates maintenance issues instantly and keeps guests updated, protecting a 19-year award-winning brand from one-off bad-review incidents.","Reference their 2006 founding and awards page, then the public Arkana Village review - frame AI triage as insurance for reputation at their multi-area scale.",8,bali_regional,bali-villas
26,Hydro Medical Bali,https://www.hydromedicalbali.com,"Canggu (Jl. Subak Sari No.20), Kuta, Seminyak + mobile teams to Ubud, Uluwatu, Sanur, Nusa Dua","24/7 tourist medical clinic & IV drip (Bali belly, vaccines, dental)","3 fixed clinics + island-wide mobile teams, 24/7 operations","24/7 multi-site operation dispatching doctors to villas within 15-30 minutes - all coordinated through phone/WhatsApp; inbound triage, quoting and dispatch across 3 clinics and 7 service areas is heavy manual messaging load around the clock.","https://www.hydromedicalbali.com/ and https://www.hydromedicalbali.com/contact-us/ (multi-location, 24/7, mobile dispatch). Manual-load claim: ASSUMPTION inferred from WhatsApp/phone-based intake",Managing director / operations manager,Contact form + WhatsApp on hydromedicalbali.com/contact-us,"AI intake layer for a 24/7 dispatch business: symptom triage, drip-package quoting, villa-location capture and nearest-team routing - protect their 15-30 min response promise as volume grows.",Reference their published 15-30 minute dispatch promise and multi-area coverage; frame AI as the way to keep that SLA at 4am in high season without doubling admin staff.,7,bali_regional,bali-clinics
27,Unicare Clinic,https://unicare-clinic.com,"Ubud (Jl. Raya Pengosekan No.88), Kuta, Nusa Dua, Uluwatu (Bali) + Labuan Bajo, Tambolaka (NTT)","Tourist medical clinics, 24/7 emergency & doctor-on-call, IV drips, rabies vaccines","6 locations across Bali and Nusa Tenggara, 24/7 service","Six locations with 24/7 on-call doctor dispatch for tourists; inquiries (Bali belly, rabies shots, emergencies) arrive around the clock in multiple languages; multi-site intake and routing via phone/WhatsApp is a scaling bottleneck.","https://unicare-clinic.com/ and https://unicare-clinic.com/contact-us/ (locations, 24/7 emergency response). Bottleneck claim: ASSUMPTION inferred from multi-site 24/7 on-call model",Group operations director / owner,Contact form + WhatsApp on unicare-clinic.com/contact-us; Instagram @unicareclinic,"One AI front door for 6 clinics: triages tourist symptoms, answers vaccine/IV pricing instantly, routes to nearest branch or on-call doctor - consistent response quality across Bali and NTT.",Reviews praise 30-minute night-time villa response in Ubud - pitch keeping that reputation consistent across all 6 sites without a bigger call team.,7,bali_regional,bali-clinics
28,Jade Chen Aesthetics,https://jadechenclinic.com,"Berawa, Canggu (Jl. Raya Semat No.2) and Sidewalk Mall, Jimbaran, Bali","Aesthetic clinic (botox, lip filler, Profhilo, thread lift, HIFU)",2 locations; Jimbaran branch open daily 10am-10pm,"Sales are Instagram-DM and WhatsApp driven (booking 'via Instagram @jadechenaesthetics' and WhatsApp per their own contact page); two branches, no visible self-serve online booking; late hours mean DMs flow past staffed reply capacity.",https://jadechenclinic.com/contact-us/ (booking via phone/WhatsApp/Instagram; two locations). Reply-capacity claim: ASSUMPTION,Founder (clinic principal) / clinic manager,WhatsApp +62 819 9498 1818 / contact form on jadechenclinic.com; Instagram @jadechenaesthetics,AI assistant that answers IG DMs and WhatsApp instantly with natural-look treatment info and books consults into the right branch - convert followers into filled chairs at both Canggu and Jimbaran.,They publish SEO blogs targeting 'botox in Canggu' searchers - point out that ad/SEO traffic converting through unanswered DMs is paid demand leaking away.,7,bali_regional,bali-clinics
29,BIA Dental Center (Bali Implant Aesthetic),https://biadentalcenter.com/en,"Jl. Sunset Road No.168, Seminyak/Kuta, Bali","Dental clinic / dental tourism (implants, full-mouth rehab, veneers)","Large single-site center (in-house X-ray, lab, pharmacy, anesthesia depts); 30,000+ patients treated","High-volume international patient funnel (patients fly in from Brisbane etc.); follow-up and coordination already run over WhatsApp per patient reviews; pre-arrival quoting, treatment-plan Q&A and scheduling for overseas patients is chat-heavy and time-zone mismatched.","https://biadentalcenter.com/en and https://biadentalcenter.com/reviews (30,000+ patients; reviews praising WhatsApp follow-up). Time-zone bottleneck: ASSUMPTION",Clinic director / international patient coordinator lead,WhatsApp and contact form on biadentalcenter.com,"AI patient-communication system for dental tourism: instant WhatsApp answers on implant/veneer pricing, pre-arrival checklists, appointment sequencing for fly-in patients - scale the coordinator team without hiring.",Their reviews specifically praise WhatsApp follow-up - pitch making that signature experience instant and 24/7 for the Australian time zone where their patients live.,7,bali_regional,bali-clinics
